title,description,favicon,language,keywords,ogLocaleAlternate,scrapeId,viewport,renderer,author,sourceURL,url,statusCode
投资案例_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],f5ed6207-b004-4e91-ba4b-b594137c0aa5,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project.html?page=6,https://www.fortunevc.com/index/project.html?page=6,200
又是一年“5·15”，投资者保护如何落到实处,https://www.fortunevc.com/favicon.ico,en,[],a72debbd-0d65-47b3-8281-e3c039fd0af1,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/showeducate/id/3627.html,https://www.fortunevc.com/index/showeducate/id/3627.html,200
愿景使命,愿景使命,https://www.fortunevc.com/favicon.ico,en,愿景使命,[],a05a3771-908a-4f65-8c5c-b922c1e82e84,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/aboutinfo/id/3.html,https://www.fortunevc.com/index/aboutinfo/id/3.html,200
达晨获评投中、财新数据、一财、界面、创业黑马等多个重要行业奖项,https://www.fortunevc.com/favicon.ico,en,[],5d10166d-3e82-41f2-af56-98ebbf97b4a9,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3704.html,https://www.fortunevc.com/index/shownews/id/3704.html,200
管理团队_邬  曦,https://www.fortunevc.com/favicon.ico,en,[],f0594b40-382f-4870-80a7-9d367501be40,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/teaminfo/id/3332.html,https://www.fortunevc.com/index/teaminfo/id/3332.html,200
投资案例_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],2095aaba-566d-419a-8dc9-9462daacc070,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project.html?page=7,https://www.fortunevc.com/index/project.html?page=7,200
清科解读《关于加强私募投资基金监管的若干规定》,https://www.fortunevc.com/favicon.ico,en,[],bc41aaf7-7a7b-4c81-95ce-ea64406b73d1,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/showeducate/id/3109.html,https://www.fortunevc.com/index/showeducate/id/3109.html,200
达晨财智连续五年高分入选中国保险资产管理业协会A类机构,https://www.fortunevc.com/favicon.ico,en,[],bb4bbcf9-f1f5-4b04-aa53-8209f5616c18,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3701.html,https://www.fortunevc.com/index/shownews/id/3701.html,200
技术实力,技术实力,https://www.fortunevc.com/favicon.ico,en,技术实力,[],d93168ad-7f4e-4516-94af-6f6cc5610a0a,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/aboutinfo/id/19.html,https://www.fortunevc.com/index/aboutinfo/id/19.html,200
管理团队_熊人杰,https://www.fortunevc.com/favicon.ico,en,[],fee8cc75-ef76-4755-be6b-c2fcf4401c2b,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/teaminfo/id/264.html,https://www.fortunevc.com/index/teaminfo/id/264.html,200
[],14c66426-a205-40b1-9761-61a6943e3506,https://www.fortunevc.com/index/shownews/id/3700.html,https://www.fortunevc.com/index/shownews/id/3700.html,403
[],58816511-3fb5-4fd4-8771-727e757d86d1,https://www.fortunevc.com/index/project.html?page=8,https://www.fortunevc.com/index/project.html?page=8,403
[],bd3fabcf-efb0-4447-86f8-411b01faf611,https://www.fortunevc.com/index/showeducate/id/3108.html,https://www.fortunevc.com/index/showeducate/id/3108.html,403
